股票代码,股票名称,涨跌幅,最新价,最高,最低,今开,涨跌额,换手率,量比,动态市盈率,成交量,成交额,昨日收盘,总市值,流通市值,行情ID,市场类型,更新时间,最新交易日
000823,超声电子,2.08,8.35,8.41,7.99,8.19,0.17,4.44,0.99,65.01,238250,195743757.59,8.18,4483864129,4483484304,0.000823,深A,2024-06-14 15:34:51,2024-06-14
839790,联迪信息,2.08,6.88,7.05,6.71,6.75,0.14,2.2,1.46,-972.82,11933,8185907.85,6.74,543293098,373920831,0.839790,深A,2024-06-14 15:31:55,2024-06-14
300738,奥飞数据,2.07,10.83,10.89,10.52,10.6,0.22,3.87,1.02,51.73,373245,402026609.35,10.61,10449197554,10446176374,0.300738,深A,2024-06-14 15:34:18,2024-06-14
002771,真视通,2.07,17.23,17.29,16.55,16.8,0.35,5.61,1.05,134.17,95867,163277117.0,16.88,3614235443,2943286837,0.002771,深A,2024-06-14 15:34:57,2024-06-14
001331,胜通能源,2.07,13.79,14.12,13.33,13.41,0.28,9.14,1.76,29.96,38392,52809964.2,13.51,2316720000,579180000,0.001331,深A,2024-06-14 15:34:33,2024-06-14
603118,共进股份,2.07,6.9,6.94,6.59,6.75,0.14,1.92,1.26,225.08,150970,102789749.0,6.76,5461089497,5432207201,1.603118,沪A,2024-06-14 16:11:46,2024-06-14
600597,光明乳业,2.07,8.38,8.43,8.12,8.2,0.17,1.53,2.64,16.76,211364,174922203.0,8.21,11551610134,11551455942,1.600597,沪A,2024-06-14 16:11:40,2024-06-14
000555,神州信息,2.07,11.84,11.84,11.52,11.6,0.24,0.82,0.95,-51.16,79816,93571004.85,11.6,11553169334,11512177478,0.000555,深A,2024-06-14 15:34:36,2024-06-14
000415,渤海租赁,2.07,2.47,2.48,2.41,2.42,0.05,1.04,0.8,9.82,562623,137979066.89,2.42,15275767567,13320065663,0.000415,深A,2024-06-14 15:34:24,2024-06-14
002293,罗莱生活,2.06,8.9,8.9,8.67,8.72,0.18,0.3,1.35,20.75,24698,21721982.46,8.72,7426867381,7358193539,0.002293,深A,2024-06-14 15:34:27,2024-06-14
002331,皖通科技,2.06,6.43,6.49,6.23,6.36,0.13,1.6,0.59,-77.34,63257,40358438.0,6.3,2637881452,2545324573,0.002331,深A,2024-06-14 15:34:39,2024-06-14
000970,中科三环,2.05,7.95,8.04,7.69,7.79,0.16,1.83,2.13,-24.47,221993,175232781.21,7.79,9665019895,9665019895,0.000970,深A,2024-06-14 15:35:06,2024-06-14
301488,豪恩汽电,2.05,53.18,53.65,50.11,51.86,1.07,11.41,1.27,67.61,24123,125091833.59,52.11,4892560000,1124168829,0.301488,深A,2024-06-14 15:34:36,2024-06-14
601788,光大证券,2.05,15.91,16.03,15.55,15.6,0.32,0.9,2.04,26.87,353199,559136039.0,15.59,73357631336,62155578528,1.601788,沪A,2024-06-14 16:11:46,2024-06-14
600643,爱建集团,2.05,3.98,4.02,3.82,3.87,0.08,1.56,1.77,14.0,252221,98725235.0,3.9,6455251359,6444031492,1.600643,沪A,2024-06-14 16:11:43,2024-06-14
